,Mano,Chica,Stddev_chica,Chica_value
537,R S S A (2),5.71243,0.653119,1667.7
440,R S S A (3),5.6971,0.651051,1667.8
331,R S S A (4),5.68393,0.653082,1667.9
1151,C C S A (1),5.56801,0.914593,1676.6
1110,C C S A (2),5.56046,0.913443,1676.7
913,C C S A (3),5.55416,0.911918,1676.8
69,C C S A (4),5.54515,0.911771,1676.9
967,R C S A (1),5.51283,0.392976,1677.6
269,R C S A (2),5.39003,0.389658,1677.7
564,R C S A (3),5.26749,0.38631,1677.8
821,R C S A (4),5.14756,0.381731,1677.9
887,R R S A (1),5.04525,0.402489,1687.6
592,R R S A (2),4.9597,0.400931,1687.7
1170,R R S A (3),4.87585,0.397404,1687.8
997,R R S A (4),4.79297,0.393665,1687.9
345,C C C A (1),4.59828,2.0601,1776.6
724,C C C A (2),4.59004,2.05043,1776.7
728,C C C A (3),4.59524,2.05071,1776.8
334,C C C A (4),4.60238,2.05099,1776.9
754,R C C A (1),4.59587,0.590054,1777.6
751,R C C A (2),4.57979,0.58857,1777.7
655,R C C A (3),4.57045,0.588152,1777.8
867,R C C A (4),4.55746,0.587543,1777.9
619,R R C A (1),4.4926,0.381613,1787.6
1068,R R C A (2),4.41141,0.379374,1787.7
799,R R C A (3),4.33114,0.375845,1787.8
927,R R C A (4),4.25248,0.372311,1787.9
105,R R R A (1),4.19835,0.522809,1887.6
384,R R R A (2),4.18024,0.521744,1887.7
292,R R R A (3),4.16438,0.520844,1887.8
636,R R R A (4),4.14655,0.520702,1887.9
755,4 4 4 4 (1),2.44328,9.73708,2221.6
1033,4 4 4 4 (2),2.4219,9.77857,2221.7
421,4 4 4 4 (3),2.4564,9.7528,2221.8
807,4 4 4 4 (4),2.42933,9.73388,2221.9
628,5 4 4 4 (1),2.42789,2.14138,2222.6
1144,5 4 4 4 (2),2.42892,2.1414,2222.7
467,5 4 4 4 (3),2.42323,2.14547,2222.8
189,5 4 4 4 (4),2.42525,2.14573,2222.9
1214,6 4 4 4 (1),2.42704,2.14589,2223.6
343,6 4 4 4 (2),2.42742,2.14417,2223.7
882,6 4 4 4 (3),2.42878,2.14426,2223.8
552,6 4 4 4 (4),2.43374,2.14873,2223.9
1082,7 4 4 4 (1),2.42953,2.14248,2224.6
1126,7 4 4 4 (2),2.42835,2.14725,2224.7
839,7 4 4 4 (3),2.42548,2.14111,2224.8
776,7 4 4 4 (4),2.42262,2.14314,2224.9
286,S 4 4 4 (1),2.43167,2.14174,2225.6
828,S 4 4 4 (2),2.42353,2.14638,2225.7
711,S 4 4 4 (3),2.43373,2.14727,2225.8
824,S 4 4 4 (4),2.4345,2.14579,2225.9
963,C 4 4 4 (1),2.42638,2.14109,2226.6
268,C 4 4 4 (2),2.435,2.15366,2226.7
563,C 4 4 4 (3),2.43947,2.14455,2226.8
740,C 4 4 4 (4),2.433,2.14496,2226.9
795,R 4 4 4 (1),2.42913,1.50487,2227.6
306,R 4 4 4 (2),2.423,1.50523,2227.7
525,R 4 4 4 (3),2.42792,1.50888,2227.8
1274,R 4 4 4 (4),2.43189,1.51428,2227.9
647,5 5 4 4 (1),2.43283,1.42344,2232.6
609,5 5 4 4 (2),2.42873,1.42377,2232.7
1299,5 5 4 4 (3),2.42853,1.42036,2232.8
386,5 5 4 4 (4),2.42661,1.422,2232.9
694,6 5 4 4 (1),2.4271,0.868703,2233.6
678,6 5 4 4 (2),2.4292,0.867965,2233.7
1001,6 5 4 4 (3),2.42796,0.867479,2233.8
223,6 5 4 4 (4),2.42686,0.868204,2233.9
1120,7 5 4 4 (1),2.42769,0.867265,2234.6
979,7 5 4 4 (2),2.42427,0.869201,2234.7
943,7 5 4 4 (3),2.42432,0.866112,2234.8
1262,7 5 4 4 (4),2.42402,0.865675,2234.9
472,S 5 4 4 (1),2.42231,0.866704,2235.6
730,S 5 4 4 (2),2.42014,0.864738,2235.7
450,S 5 4 4 (3),2.42107,0.867197,2235.8
198,S 5 4 4 (4),2.41954,0.865877,2235.9
985,C 5 4 4 (1),2.41558,0.867028,2236.6
459,C 5 4 4 (2),2.41697,0.867505,2236.7
1174,C 5 4 4 (3),2.41081,0.863544,2236.8
996,C 5 4 4 (4),2.41109,0.865681,2236.9
444,R 5 4 4 (1),2.41411,0.612178,2237.6
154,R 5 4 4 (2),2.41081,0.611547,2237.7
371,R 5 4 4 (3),2.40863,0.612397,2237.8
957,R 5 4 4 (4),2.40506,0.60958,2237.9
739,6 6 4 4 (1),2.39416,1.41535,2243.6
1137,6 6 4 4 (2),2.39767,1.40993,2243.7
699,6 6 4 4 (3),2.40212,1.41576,2243.8
961,6 6 4 4 (4),2.39813,1.41291,2243.9
904,7 6 4 4 (1),2.39506,0.864452,2244.6
1205,7 6 4 4 (2),2.39539,0.862723,2244.7
400,7 6 4 4 (3),2.39479,0.862361,2244.8
1017,7 6 4 4 (4),2.39191,0.861834,2244.9
310,S 6 4 4 (1),2.39475,0.862787,2245.6
492,S 6 4 4 (2),2.39214,0.861321,2245.7
844,S 6 4 4 (3),2.38914,0.861103,2245.8
1159,S 6 4 4 (4),2.38764,0.862888,2245.9
362,C 6 4 4 (1),2.38537,0.861973,2246.6
599,C 6 4 4 (2),2.38619,0.862066,2246.7
389,C 6 4 4 (3),2.38438,0.861209,2246.8
1040,C 6 4 4 (4),2.38358,0.860637,2246.9
502,R 6 4 4 (1),2.38274,0.608232,2247.6
428,R 6 4 4 (2),2.38108,0.606975,2247.7
895,R 6 4 4 (3),2.37893,0.607662,2247.8
1279,R 6 4 4 (4),2.37531,0.606809,2247.9
1097,7 7 4 4 (1),2.37029,1.40535,2254.6
900,7 7 4 4 (2),2.36794,1.40365,2254.7
756,7 7 4 4 (3),2.36794,1.40193,2254.8
1034,7 7 4 4 (4),2.3651,1.40527,2254.9
950,S 7 4 4 (1),2.36974,0.858936,2255.6
1011,S 7 4 4 (2),2.36959,0.859029,2255.7
627,S 7 4 4 (3),2.3674,0.857363,2255.8
1146,S 7 4 4 (4),2.36618,0.857311,2255.9
351,C 7 4 4 (1),2.36335,0.857256,2256.6
763,C 7 4 4 (2),2.36369,0.859493,2256.7
1215,C 7 4 4 (3),2.36471,0.856421,2256.8
344,C 7 4 4 (4),2.35873,0.856918,2256.9
1243,R 7 4 4 (1),2.36068,0.606263,2257.6
934,R 7 4 4 (2),2.35815,0.604419,2257.7
1083,R 7 4 4 (3),2.35421,0.603609,2257.8
1127,R 7 4 4 (4),2.35368,0.604302,2257.9
610,S S 4 4 (1),2.34602,1.39722,2265.6
119,S S 4 4 (2),2.34621,1.39685,2265.7
648,S S 4 4 (3),2.34613,1.39856,2265.8
608,S S 4 4 (4),2.34349,1.39721,2265.9
1189,C S 4 4 (1),2.34495,0.854906,2266.6
278,C S 4 4 (2),2.34357,0.85343,2266.7
693,C S 4 4 (3),2.34478,0.853588,2266.8
677,C S 4 4 (4),2.34405,0.854495,2266.9
146,R S 4 4 (1),2.34194,0.602542,2267.6
1063,R S 4 4 (2),2.33737,0.601672,2267.7
1121,R S 4 4 (3),2.33733,0.602507,2267.8
980,R S 4 4 (4),2.3328,0.601138,2267.9
200,C C 4 4 (1),2.32902,1.39379,2276.6
188,C C 4 4 (2),2.32903,1.3961,2276.7
738,C C 4 4 (3),2.3315,1.39498,2276.8
1136,C C 4 4 (4),2.32638,1.39057,2276.9
774,R C 4 4 (1),2.33044,0.600235,2277.6
971,R C 4 4 (2),2.32667,0.601515,2277.7
905,R C 4 4 (3),2.32544,0.600805,2277.8
1206,R C 4 4 (4),2.32227,0.601384,2277.9
1128,R R 4 4 (1),2.31854,0.643726,2287.6
152,R R 4 4 (2),2.31923,0.642274,2287.7
1096,R R 4 4 (3),2.31809,0.641463,2287.8
901,R R 4 4 (4),2.31519,0.641979,2287.9
102,5 5 5 4 (1),2.1042,2.00328,2332.6
857,5 5 5 4 (2),2.09568,1.99856,2332.7
889,5 5 5 4 (3),2.10264,1.99935,2332.8
365,5 5 5 4 (4),2.10609,2.00508,2332.9
181,6 5 5 4 (1),2.10019,0.808813,2333.6
1229,6 5 5 4 (2),2.09923,0.809666,2333.7
791,6 5 5 4 (3),2.09965,0.808298,2333.8
1079,6 5 5 4 (4),2.0995,0.80885,2333.9
992,7 5 5 4 (1),2.09532,0.808641,2334.6
1300,7 5 5 4 (2),2.09628,0.806944,2334.7
953,7 5 5 4 (3),2.09369,0.805411,2334.8
1008,7 5 5 4 (4),2.09341,0.807816,2334.9
1267,S 5 5 4 (1),2.09235,0.806485,2335.6
433,S 5 5 4 (2),2.09074,0.808934,2335.7
330,S 5 5 4 (3),2.09176,0.806273,2335.8
1186,S 5 5 4 (4),2.09208,0.805463,2335.9
975,C 5 5 4 (1),2.08781,0.805129,2336.6
519,C 5 5 4 (2),2.08902,0.807419,2336.7
797,C 5 5 4 (3),2.08722,0.806098,2336.8
930,C 5 5 4 (4),2.08655,0.806931,2336.9
60,R 5 5 4 (1),2.08581,0.569927,2337.6
783,R 5 5 4 (2),2.08296,0.569316,2337.7
1093,R 5 5 4 (3),2.07936,0.569796,2337.8
1181,R 5 5 4 (4),2.07681,0.568731,2337.9
1257,6 6 5 4 (1),2.03596,0.797218,2343.6
1319,6 6 5 4 (2),2.03002,0.793724,2343.7
1196,6 6 5 4 (3),2.02903,0.795726,2343.8
1250,6 6 5 4 (4),2.03013,0.796106,2343.9
6,7 6 5 4 (1),2.02387,0.486033,2344.6
1045,7 6 5 4 (2),2.01349,0.486141,2344.7
411,7 6 5 4 (3),2.00482,0.483427,2344.8
244,7 6 5 4 (4),1.99669,0.483045,2344.9
1087,S 6 5 4 (1),1.98693,0.481765,2345.6
546,S 6 5 4 (2),1.9777,0.480515,2345.7
819,S 6 5 4 (3),1.96777,0.479677,2345.8
1074,S 6 5 4 (4),1.96032,0.478852,2345.9
1203,C 6 5 4 (1),1.95073,0.476254,2346.6
1165,C 6 5 4 (2),1.94108,0.475998,2346.7
216,C 6 5 4 (3),1.93431,0.476008,2346.8
1060,C 6 5 4 (4),1.923,0.473668,2346.9
772,R 6 5 4 (1),1.91544,0.334654,2347.6
1037,R 6 5 4 (2),1.89411,0.332544,2347.7
1113,R 6 5 4 (3),1.87406,0.331286,2347.8
1290,R 6 5 4 (4),1.85368,0.329037,2347.9
130,7 7 5 4 (1),1.79989,0.749195,2354.6
1284,7 7 5 4 (2),1.80013,0.749409,2354.7
1178,7 7 5 4 (3),1.79873,0.749137,2354.8
235,7 7 5 4 (4),1.79638,0.748404,2354.9
22,S 7 5 4 (1),1.79145,0.457835,2355.6
566,S 7 5 4 (2),1.78328,0.457798,2355.7
510,S 7 5 4 (3),1.77464,0.455934,2355.8
696,S 7 5 4 (4),1.76661,0.454696,2355.9
64,C 7 5 4 (1),1.7587,0.45384,2356.6
811,C 7 5 4 (2),1.74799,0.452806,2356.7
1052,C 7 5 4 (3),1.74022,0.451239,2356.8
1106,C 7 5 4 (4),1.73292,0.451003,2356.9
53,R 7 5 4 (1),1.72271,0.317515,2357.6
192,R 7 5 4 (2),1.70374,0.315766,2357.7
1223,R 7 5 4 (3),1.68309,0.313956,2357.8
915,R 7 5 4 (4),1.66337,0.312172,2357.9
122,S S 5 4 (1),1.62515,0.713436,2365.6
708,S S 5 4 (2),1.62492,0.713847,2365.7
103,S S 5 4 (3),1.62264,0.714106,2365.8
858,S S 5 4 (4),1.62379,0.71502,2365.9
95,C S 5 4 (1),1.61697,0.436167,2366.6
1142,C S 5 4 (2),1.60836,0.434698,2366.7
182,C S 5 4 (3),1.60098,0.433624,2366.8
1230,C S 5 4 (4),1.59306,0.433689,2366.9
1294,R S 5 4 (1),1.58416,0.304405,2367.6
325,R S 5 4 (2),1.56494,0.303168,2367.7
993,R S 5 4 (3),1.5454,0.301068,2367.8
1301,R S 5 4 (4),1.52672,0.298623,2367.9
812,C C 5 4 (1),1.50041,0.686922,2376.6
944,C C 5 4 (2),1.4986,0.685113,2376.7
1256,C C 5 4 (3),1.499,0.684965,2376.8
1318,C C 5 4 (4),1.49838,0.686033,2376.9
3,R C 5 4 (1),1.49317,0.295622,2377.6
12,R C 5 4 (2),1.47421,0.293064,2377.7
5,R C 5 4 (3),1.45549,0.292596,2377.8
1046,R C 5 4 (4),1.43672,0.290034,2377.9
1077,R R 5 4 (1),1.4217,0.30852,2387.6
1308,R R 5 4 (2),1.40859,0.308173,2387.7
131,R R 5 4 (3),1.3952,0.305766,2387.8
1285,R R 5 4 (4),1.38251,0.30449,2387.9
1015,6 6 6 4 (1),1.20797,1.52245,2443.6
630,6 6 6 4 (2),1.21774,1.52835,2443.7
613,6 6 6 4 (3),1.21962,1.5293,2443.8
374,6 6 6 4 (4),1.21463,1.52603,2443.9
35,7 6 6 4 (1),1.2155,0.618227,2444.6
1212,7 6 6 4 (2),1.21458,0.616579,2444.7
332,7 6 6 4 (3),1.21127,0.616495,2444.8
885,7 6 6 4 (4),1.21286,0.618935,2444.9
1263,S 6 6 4 (1),1.21182,0.617136,2445.6
652,S 6 6 4 (2),1.21122,0.617345,2445.7
870,S 6 6 4 (3),1.21006,0.616825,2445.8
838,S 6 6 4 (4),1.2085,0.618344,2445.9
145,C 6 6 4 (1),1.20976,0.616322,2446.6
279,C 6 6 4 (2),1.2083,0.615974,2446.7
834,C 6 6 4 (3),1.20803,0.615607,2446.8
714,C 6 6 4 (4),1.20609,0.616085,2446.9
161,R 6 6 4 (1),1.20536,0.434049,2447.6
528,R 6 6 4 (2),1.204,0.434022,2447.7
275,R 6 6 4 (3),1.20206,0.435283,2447.8
561,R 6 6 4 (4),1.19961,0.433517,2447.9
683,7 7 6 4 (1),1.17335,0.607014,2454.6
692,7 7 6 4 (2),1.17381,0.607514,2454.7
674,7 7 6 4 (3),1.17182,0.607148,2454.8
172,7 7 6 4 (4),1.17139,0.606872,2454.9
1114,S 7 6 4 (1),1.16717,0.371022,2455.6
556,S 7 6 4 (2),1.16123,0.369037,2455.7
213,S 7 6 4 (3),1.15419,0.368794,2455.8
938,S 7 6 4 (4),1.14845,0.368453,2455.9
1280,C 7 6 4 (1),1.14075,0.365343,2456.6
476,C 7 6 4 (2),1.13416,0.365576,2456.7
735,C 7 6 4 (3),1.12904,0.363959,2456.8
454,C 7 6 4 (4),1.12052,0.363443,2456.9
1219,R 7 6 4 (1),1.11418,0.256085,2457.6
984,R 7 6 4 (2),1.09933,0.253472,2457.7
458,R 7 6 4 (3),1.08396,0.252556,2457.8
1169,R 7 6 4 (4),1.06935,0.251059,2457.9
83,S S 6 4 (1),1.03968,0.571884,2465.6
876,S S 6 4 (2),1.03892,0.572207,2465.7
874,S S 6 4 (3),1.03729,0.572606,2465.8
399,S S 6 4 (4),1.03734,0.571676,2465.9
17,C S 6 4 (1),1.03233,0.349112,2466.6
317,C S 6 4 (2),1.02781,0.348681,2466.7
490,C S 6 4 (3),1.02115,0.346719,2466.8
843,C S 6 4 (4),1.01384,0.345734,2466.9
117,R S 6 4 (1),1.00801,0.243463,2467.6
360,R S 6 4 (2),0.993096,0.241894,2467.7
597,R S 6 4 (3),0.979255,0.240416,2467.8
391,R S 6 4 (4),0.964478,0.238218,2467.9
1306,C C 6 4 (1),0.943999,0.545463,2476.6
947,C C 6 4 (2),0.943799,0.544651,2476.7
1014,C C 6 4 (3),0.943385,0.544699,2476.8
629,C C 6 4 (4),0.94166,0.544391,2476.9
89,R C 6 4 (1),0.938721,0.235303,2477.6
127,R C 6 4 (2),0.924951,0.233511,2477.7
37,R C 6 4 (3),0.910541,0.231445,2477.8
1213,R C 6 4 (4),0.897114,0.230062,2477.9
80,R R 6 4 (1),0.884794,0.24485,2487.6
1190,R R 6 4 (2),0.874112,0.242923,2487.7
682,R R 6 4 (3),0.865211,0.241796,2487.8
691,R R 6 4 (4),0.855565,0.240167,2487.9
1100,7 7 7 4 (1),0.769813,1.2177,2554.6
1056,7 7 7 4 (2),0.772853,1.21966,2554.7
826,7 7 7 4 (3),0.768372,1.2167,2554.8
789,7 7 7 4 (4),0.770169,1.21588,2554.9
381,S 7 7 4 (1),0.772208,0.494702,2555.6
295,S 7 7 4 (2),0.771482,0.493422,2555.7
635,S 7 7 4 (3),0.769991,0.492371,2555.8
952,S 7 7 4 (4),0.770287,0.492307,2555.9
231,C 7 7 4 (1),0.76884,0.494336,2556.6
538,C 7 7 4 (2),0.768959,0.49422,2556.7
435,C 7 7 4 (3),0.767032,0.491987,2556.8
327,C 7 7 4 (4),0.768979,0.49292,2556.9
1258,R 7 7 4 (1),0.767608,0.347325,2557.6
299,R 7 7 4 (2),0.766259,0.347929,2557.7
520,R 7 7 4 (3),0.763799,0.347034,2557.8
801,R 7 7 4 (4),0.762947,0.346951,2557.9
1154,S S 7 4 (1),0.74606,0.48609,2565.6
1108,S S 7 4 (2),0.745478,0.484842,2565.7
911,S S 7 4 (3),0.74583,0.484323,2565.8
410,S S 7 4 (4),0.745305,0.484791,2565.9
966,C S 7 4 (1),0.741547,0.296003,2566.6
257,C S 7 4 (2),0.736054,0.294914,2566.7
549,C S 7 4 (3),0.730585,0.294709,2566.8
817,C S 7 4 (4),0.725461,0.293263,2566.9
45,R S 7 4 (1),0.720571,0.206721,2567.6
508,R S 7 4 (2),0.708689,0.204957,2567.7
1162,R S 7 4 (3),0.696569,0.202939,2567.8
219,R S 7 4 (4),0.684245,0.200907,2567.9
888,C C 7 4 (1),0.668233,0.460973,2576.6
590,C C 7 4 (2),0.667988,0.459503,2576.7
412,C C 7 4 (3),0.666855,0.459149,2576.8
505,C C 7 4 (4),0.666728,0.458506,2576.9
1029,R C 7 4 (1),0.662314,0.197939,2577.6
422,R C 7 4 (2),0.651171,0.196434,2577.7
805,R C 7 4 (3),0.639869,0.194743,2577.8
1047,R C 7 4 (4),0.62769,0.192651,2577.9
1089,R R 7 4 (1),0.618696,0.204565,2587.6
925,R R 7 4 (2),0.6112,0.203344,2587.7
1101,R R 7 4 (3),0.602335,0.201616,2587.8
1055,R R 7 4 (4),0.594667,0.200306,2587.9
346,S S S 4 (1),0.556285,1.035,2665.6
723,S S S 4 (2),0.551343,1.03364,2665.7
726,S S S 4 (3),0.556855,1.03695,2665.8
337,S S S 4 (4),0.55533,1.03581,2665.9
1251,C S S 4 (1),0.554037,0.419433,2666.6
749,C S S 4 (2),0.554545,0.418888,2666.7
657,C S S 4 (3),0.553732,0.417885,2666.8
868,C S S 4 (4),0.552463,0.418408,2666.9
253,R S S 4 (1),0.551494,0.295406,2667.6
586,R S S 4 (2),0.550408,0.295368,2667.7
289,R S S 4 (3),0.550098,0.294792,2667.8
829,R S S 4 (4),0.548202,0.294291,2667.9
617,C C S 4 (1),0.536518,0.412871,2676.6
1069,C C S 4 (2),0.538654,0.413212,2676.7
555,C C S 4 (3),0.53713,0.41239,2676.8
211,C C S 4 (4),0.535893,0.412402,2676.9
242,R C S 4 (1),0.533988,0.177855,2677.6
720,R C S 4 (2),0.523327,0.176183,2677.7
473,R C S 4 (3),0.513195,0.174096,2677.8
732,R C S 4 (4),0.502233,0.172913,2677.9
615,R R S 4 (1),0.493384,0.182408,2687.6
464,R R S 4 (2),0.486584,0.181559,2687.7
312,R R S 4 (3),0.478824,0.179892,2687.8
493,R R S 4 (4),0.471311,0.179127,2687.9
796,C C C 4 (1),0.453501,0.935794,2776.6
378,C C C 4 (2),0.451643,0.935454,2776.7
296,C C C 4 (3),0.454582,0.940107,2776.8
638,C C C 4 (4),0.453592,0.934806,2776.9
173,R C C 4 (1),0.454515,0.267956,2777.6
232,R C C 4 (2),0.453906,0.268239,2777.7
540,R C C 4 (3),0.453326,0.267375,2777.8
441,R C C 4 (4),0.451327,0.267319,2777.9
432,R R C 4 (1),0.445991,0.17347,2787.6
964,R R C 4 (2),0.438285,0.172303,2787.7
267,R R C 4 (3),0.431529,0.171127,2787.8
562,R R C 4 (4),0.424962,0.169734,2787.9
78,R R R 4 (1),0.419776,0.238973,2887.6
31,R R R 4 (2),0.419215,0.238337,2887.7
746,R R R 4 (3),0.41737,0.237776,2887.8
654,R R R 4 (4),0.414987,0.237015,2887.9
28,5 5 5 5 (1),0.218743,2.95349,3332.6
622,5 5 5 5 (2),0.213386,2.88998,3332.7
1139,5 5 5 5 (3),0.210941,2.83134,3332.8
470,5 5 5 5 (4),0.216781,2.943,3332.9
38,6 5 5 5 (1),0.21583,0.647486,3333.6
1216,6 5 5 5 (2),0.217417,0.64861,3333.7
335,6 5 5 5 (3),0.215727,0.647768,3333.8
1265,6 5 5 5 (4),0.214729,0.647404,3333.9
935,7 5 5 5 (1),0.216502,0.646042,3334.6
1084,7 5 5 5 (2),0.215933,0.646447,3334.7
865,7 5 5 5 (3),0.216942,0.647577,3334.8
835,7 5 5 5 (4),0.214649,0.644821,3334.9
580,S 5 5 5 (1),0.214209,0.644678,3335.6
288,S 5 5 5 (2),0.215838,0.645861,3335.7
832,S 5 5 5 (3),0.218228,0.651661,3335.8
712,S 5 5 5 (4),0.216799,0.649323,3335.9
663,C 5 5 5 (1),0.214697,0.644102,3336.6
531,C 5 5 5 (2),0.218122,0.650563,3336.7
271,C 5 5 5 (3),0.215348,0.644945,3336.8
559,C 5 5 5 (4),0.215831,0.648085,3336.9
859,R 5 5 5 (1),0.21556,0.45448,3337.6
794,R 5 5 5 (2),0.216573,0.457412,3337.7
303,R 5 5 5 (3),0.214769,0.453989,3337.8
526,R 5 5 5 (4),0.217218,0.456882,3337.9
685,6 6 5 5 (1),0.215476,0.428172,3343.6
687,6 6 5 5 (2),0.215754,0.428638,3343.7
670,6 6 5 5 (3),0.215775,0.428291,3343.8
1003,6 6 5 5 (4),0.21611,0.427858,3343.9
1071,7 6 5 5 (1),0.216138,0.262037,3344.6
1118,7 6 5 5 (2),0.215918,0.261977,3344.7
214,7 6 5 5 (3),0.214984,0.26136,3344.8
942,7 6 5 5 (4),0.215126,0.261228,3344.9
722,S 6 5 5 (1),0.214859,0.260983,3345.6
474,S 6 5 5 (2),0.214931,0.261618,3345.7
737,S 6 5 5 (3),0.215699,0.261603,3345.8
1201,S 6 5 5 (4),0.214291,0.260718,3345.9
482,C 6 5 5 (1),0.215673,0.262338,3346.6
988,C 6 5 5 (2),0.21412,0.260306,3346.7
457,C 6 5 5 (3),0.214628,0.260894,3346.8
1173,C 6 5 5 (4),0.213972,0.260805,3346.9
573,R 6 5 5 (1),0.213488,0.183789,3347.6
442,R 6 5 5 (2),0.213353,0.183363,3347.7
157,R 6 5 5 (3),0.2121,0.183213,3347.8
369,R 6 5 5 (4),0.21278,0.183278,3347.9
84,7 7 5 5 (1),0.211384,0.424185,3354.6
907,7 7 5 5 (2),0.211921,0.424729,3354.7
872,7 7 5 5 (3),0.212021,0.42422,3354.8
397,7 7 5 5 (4),0.212544,0.425518,3354.9
463,S 7 5 5 (1),0.211209,0.258657,3355.6
314,S 7 5 5 (2),0.210582,0.25882,3355.7
494,S 7 5 5 (3),0.209957,0.25872,3355.8
841,S 7 5 5 (4),0.210135,0.258664,3355.9
892,C 7 5 5 (1),0.21072,0.258973,3356.6
364,C 7 5 5 (2),0.210395,0.25885,3356.7
602,C 7 5 5 (3),0.209578,0.257992,3356.8
390,C 7 5 5 (4),0.209524,0.258187,3356.9
1234,R 7 5 5 (1),0.209539,0.18186,3357.6
499,R 7 5 5 (2),0.209518,0.182236,3357.7
427,R 7 5 5 (3),0.208781,0.18218,3357.8
896,R 7 5 5 (4),0.20785,0.181559,3357.9
1305,S S 5 5 (1),0.208135,0.421444,3365.6
951,S S 5 5 (2),0.207733,0.4199,3365.7
29,S S 5 5 (3),0.208784,0.421455,3365.8
621,S S 5 5 (4),0.205974,0.41787,3365.9
667,C S 5 5 (1),0.207352,0.257393,3366.6
350,C S 5 5 (2),0.207738,0.256057,3366.7
39,C S 5 5 (3),0.206346,0.255999,3366.8
1217,C S 5 5 (4),0.207181,0.255883,3366.9
201,R S 5 5 (1),0.2064,0.180949,3367.6
1242,R S 5 5 (2),0.206493,0.18113,3367.7
936,R S 5 5 (3),0.205654,0.179946,3367.8
1085,R S 5 5 (4),0.205359,0.180556,3367.9
79,C C 5 5 (1),0.203185,0.416212,3376.6
1191,C C 5 5 (2),0.203871,0.416598,3376.7
684,C C 5 5 (3),0.203492,0.417013,3376.8
