,Pares_repr,Pares_1,Stddev_pares_1,Pares_2,Stddev_pares_2,Pares_value
160, R R R R (1),100.0,0.0,100.0,0.0,8888.4
161, R R R R (2),99.9984,0.0266472,99.9982,0.0294269,8888.3
162, R R R R (3),99.9966,0.0386371,99.9962,0.0426766,8888.2
163, R R R R (4),99.9949,0.047075,99.9944,0.052026,8888.1
156, R R C C (1),99.9236,0.11768,99.9169,0.127984,8877.4
157, R R C C (2),99.8986,0.135786,99.8898,0.147675,8877.3
158, R R C C (3),99.8726,0.152353,99.8614,0.165712,8877.2
159, R R C C (4),99.8477,0.166283,99.8343,0.18087,8877.1
168, R R S S (1),99.4653,0.31038,99.4184,0.337525,8866.4
169, R R S S (2),99.4399,0.318541,99.3907,0.346413,8866.3
170, R R S S (3),99.4144,0.325409,99.3631,0.353877,8866.2
171, R R S S (4),99.3893,0.332385,99.3357,0.361507,8866.1
148, R R 7 7 (1),99.0079,0.422898,98.921,0.459781,8855.4
149, R R 7 7 (2),98.982,0.428269,98.8927,0.46559,8855.3
150, R R 7 7 (3),98.9562,0.433613,98.8647,0.471438,8855.2
151, R R 7 7 (4),98.9322,0.437868,98.8386,0.4761,8855.1
144, R R 6 6 (1),98.5536,0.510407,98.4268,0.554887,8844.4
145, R R 6 6 (2),98.5258,0.513443,98.3965,0.558158,8844.3
146, R R 6 6 (3),98.5002,0.518249,98.3686,0.563367,8844.2
147, R R 6 6 (4),98.4752,0.522031,98.3416,0.567463,8844.1
140, R R 5 5 (1),98.0954,0.581747,97.9285,0.632222,8833.4
141, R R 5 5 (2),98.0702,0.585403,97.9011,0.636246,8833.3
142, R R 5 5 (3),98.0453,0.590918,97.8739,0.642336,8833.2
143, R R 5 5 (4),98.0222,0.592124,97.8488,0.643575,8833.1
136, R R 4 4 (1),97.6405,0.646289,97.4336,0.702174,8822.4
137, R R 4 4 (2),97.6145,0.650164,97.4054,0.706464,8822.3
138, R R 4 4 (3),97.5897,0.653059,97.3784,0.709587,8822.2
139, R R 4 4 (4),97.5642,0.657243,97.3506,0.714229,8822.1
152, R R A A (1),97.1886,0.325152,96.8514,0.363446,8811.4
153, R R A A (2),96.8099,0.346343,96.4272,0.387141,8811.3
154, R R A A (3),96.433,0.364933,96.0052,0.407781,8811.2
155, R R A A (4),96.0571,0.383966,95.5841,0.429015,8811.1
120, C C C C (1),91.5929,17.5341,91.1667,18.3294,7777.4
121, C C C C (2),91.6007,17.5155,91.1682,18.3212,7777.3
122, C C C C (3),91.5047,17.6363,91.0706,18.4297,7777.2
123, C C C C (4),91.6075,17.5283,91.1746,18.3424,7777.1
128, C C S S (1),92.0906,2.49753,91.5903,2.64889,7766.4
129, C C S S (2),92.0908,2.49628,91.5907,2.64761,7766.3
130, C C S S (3),92.0892,2.49152,91.5894,2.64283,7766.2
131, C C S S (4),92.0967,2.48919,91.5979,2.63949,7766.1
112, C C 7 7 (1),92.0739,2.49588,91.5731,2.64756,7755.4
113, C C 7 7 (2),92.0647,2.49835,91.5634,2.64966,7755.3
114, C C 7 7 (3),92.0599,2.49676,91.5592,2.64738,7755.2
115, C C 7 7 (4),92.0573,2.49988,91.5558,2.65158,7755.1
108, C C 6 6 (1),92.0282,2.50008,91.5241,2.65145,7744.4
109, C C 6 6 (2),92.0373,2.49535,91.5344,2.64548,7744.3
110, C C 6 6 (3),92.0247,2.50808,91.5213,2.65891,7744.2
111, C C 6 6 (4),92.0251,2.5119,91.5208,2.66319,7744.1
104, C C 5 5 (1),92.0114,2.50548,91.5065,2.6572,7733.4
105, C C 5 5 (2),92.0089,2.50357,91.5036,2.65556,7733.3
106, C C 5 5 (3),92.0053,2.50018,91.5004,2.65168,7733.2
107, C C 5 5 (4),92.0,2.50549,91.4946,2.65801,7733.1
100, C C 4 4 (1),91.9857,2.5114,91.4791,2.66309,7722.4
101, C C 4 4 (2),91.9819,2.51555,91.475,2.66825,7722.3
102, C C 4 4 (3),91.9831,2.50726,91.4766,2.65966,7722.2
103, C C 4 4 (4),91.9722,2.51297,91.4651,2.66465,7722.1
116, C C A A (1),93.0556,1.08437,92.447,1.17548,7711.4
117, C C A A (2),93.029,1.08378,92.418,1.17499,7711.3
118, C C A A (3),93.0037,1.08675,92.3906,1.17838,7711.2
119, C C A A (4),92.9829,1.08713,92.3678,1.1785,7711.1
196, S S S S (1),90.0803,18.9322,89.5736,19.7883,6666.4
197, S S S S (2),90.0828,18.8614,89.583,19.6918,6666.3
198, S S S S (3),90.0161,18.9969,89.5025,19.8672,6666.2
199, S S S S (4),90.0685,18.8987,89.5484,19.7859,6666.1
188, S S 7 7 (1),90.7153,2.68344,90.1287,2.84409,6655.4
189, S S 7 7 (2),90.7158,2.68538,90.129,2.84646,6655.3
190, S S 7 7 (3),90.719,2.67811,90.1323,2.83914,6655.2
191, S S 7 7 (4),90.7051,2.68187,90.1188,2.84167,6655.1
184, S S 6 6 (1),90.6847,2.6769,90.0964,2.83754,6644.4
185, S S 6 6 (2),90.6968,2.68101,90.1096,2.84135,6644.3
186, S S 6 6 (3),90.6905,2.6878,90.1025,2.84917,6644.2
187, S S 6 6 (4),90.6911,2.68205,90.1032,2.84295,6644.1
180, S S 5 5 (1),90.6623,2.68784,90.072,2.84873,6633.4
181, S S 5 5 (2),90.6694,2.69041,90.0803,2.85126,6633.3
182, S S 5 5 (3),90.6567,2.69558,90.0672,2.8573,6633.2
183, S S 5 5 (4),90.6612,2.68668,90.0709,2.84813,6633.1
176, S S 4 4 (1),90.6427,2.68375,90.0516,2.8444,6622.4
177, S S 4 4 (2),90.6394,2.68975,90.0486,2.85045,6622.3
178, S S 4 4 (3),90.6337,2.69287,90.0426,2.85414,6622.2
179, S S 4 4 (4),90.6239,2.69369,90.0316,2.85484,6622.1
192, S S A A (1),91.9252,1.16167,91.2169,1.2591,6611.4
193, S S A A (2),91.9065,1.16309,91.1968,1.26044,6611.3
194, S S A A (3),91.8819,1.16243,91.1703,1.25929,6611.2
195, S S A A (4),91.8563,1.16735,91.1423,1.26493,6611.1
72, 7 7 7 7 (1),88.7616,19.932,88.1887,20.8188,5555.4
73, 7 7 7 7 (2),88.7695,19.9977,88.188,20.8993,5555.3
74, 7 7 7 7 (3),88.7564,19.969,88.1736,20.8877,5555.2
75, 7 7 7 7 (4),88.7605,19.9845,88.1786,20.896,5555.1
68, 7 7 6 6 (1),89.5264,2.83725,88.8645,3.00699,5544.4
69, 7 7 6 6 (2),89.5213,2.8319,88.8593,3.0005,5544.3
70, 7 7 6 6 (3),89.5215,2.83196,88.8608,2.99996,5544.2
71, 7 7 6 6 (4),89.5352,2.82635,88.8742,2.99404,5544.1
64, 7 7 5 5 (1),89.4974,2.83501,88.8339,3.00316,5533.4
65, 7 7 5 5 (2),89.484,2.83191,88.8188,3.0006,5533.3
66, 7 7 5 5 (3),89.4989,2.83571,88.8357,3.00521,5533.2
67, 7 7 5 5 (4),89.4909,2.83911,88.8265,3.00748,5533.1
60, 7 7 4 4 (1),89.4703,2.83931,88.8053,3.00801,5522.4
61, 7 7 4 4 (2),89.473,2.83157,88.8075,2.99988,5522.3
62, 7 7 4 4 (3),89.4704,2.83622,88.8048,3.0048,5522.2
63, 7 7 4 4 (4),89.4714,2.83495,88.8065,3.00334,5522.1
80, 7 7 A A (1),90.9839,1.22005,90.1936,1.32136,5511.4
81, 7 7 A A (2),90.96,1.22154,90.1678,1.32326,5511.3
82, 7 7 A A (3),90.9367,1.22735,90.142,1.32951,5511.2
83, 7 7 A A (4),90.9158,1.22236,90.1194,1.32388,5511.1
44, 6 6 6 6 (1),87.672,20.8013,87.0392,21.7275,4444.4
45, 6 6 6 6 (2),87.7025,20.7662,87.0799,21.6715,4444.3
46, 6 6 6 6 (3),87.7064,20.7892,87.0801,21.7245,4444.2
47, 6 6 6 6 (4),87.6372,20.8152,86.9922,21.7575,4444.1
40, 6 6 5 5 (1),88.5138,2.94777,87.7879,3.12159,4433.4
41, 6 6 5 5 (2),88.5126,2.94732,87.7871,3.12134,4433.3
42, 6 6 5 5 (3),88.5174,2.94928,87.7909,3.12467,4433.2
43, 6 6 5 5 (4),88.5048,2.94606,87.7787,3.12043,4433.1
36, 6 6 4 4 (1),88.4836,2.94896,87.7557,3.12276,4422.4
37, 6 6 4 4 (2),88.4677,2.95106,87.7385,3.12624,4422.3
38, 6 6 4 4 (3),88.4836,2.94448,87.7566,3.11825,4422.2
39, 6 6 4 4 (4),88.4884,2.94266,87.7608,3.11675,4422.1
52, 6 6 A A (1),90.2151,1.26642,89.3572,1.37081,4411.4
53, 6 6 A A (2),90.1899,1.26785,89.3298,1.37281,4411.3
54, 6 6 A A (3),90.1649,1.26727,89.3025,1.37209,4411.2
55, 6 6 A A (4),90.1418,1.26865,89.2777,1.373,4411.1
20, 5 5 5 5 (1),86.6923,21.4581,86.0286,22.3596,3333.4
21, 5 5 5 5 (2),86.7535,21.4335,86.0644,22.3975,3333.3
22, 5 5 5 5 (3),86.6919,21.4885,86.0092,22.4393,3333.2
23, 5 5 5 5 (4),86.7679,21.4312,86.0945,22.367,3333.1
16, 5 5 4 4 (1),87.664,3.04122,86.8842,3.21977,3322.4
17, 5 5 4 4 (2),87.6759,3.03832,86.8971,3.21595,3322.3
18, 5 5 4 4 (3),87.6615,3.04595,86.8824,3.22507,3322.2
19, 5 5 4 4 (4),87.6679,3.03151,86.889,3.20911,3322.1
28, 5 5 A A (1),89.618,1.29935,88.7083,1.40676,3311.4
29, 5 5 A A (2),89.592,1.30127,88.6797,1.40843,3311.3
30, 5 5 A A (3),89.5641,1.30536,88.6489,1.41265,3311.2
31, 5 5 A A (4),89.5493,1.30541,88.6332,1.4128,3311.1
0, 4 4 4 4 (1),85.9364,21.9595,85.221,22.9141,2222.4
1, 4 4 4 4 (2),85.9617,21.979,85.2387,22.9461,2222.3
2, 4 4 4 4 (3),85.8855,22.0492,85.161,23.0082,2222.2
3, 4 4 4 4 (4),85.9515,21.9429,85.2218,22.9164,2222.1
8, 4 4 A A (1),89.192,1.32222,88.2441,1.43031,2211.4
9, 4 4 A A (2),89.1628,1.32699,88.2128,1.43564,2211.3
10, 4 4 A A (3),89.1375,1.32755,88.1851,1.43661,2211.2
11, 4 4 A A (4),89.1184,1.33194,88.1645,1.44106,2211.1
88, A A A A (1),90.123,1.97146,89.0922,2.16574,1111.4
89, A A A A (2),90.1247,1.96971,89.093,2.16424,1111.3
90, A A A A (3),90.1134,1.97618,89.0807,2.17018,1111.2
91, A A A A (4),90.1199,1.97176,89.0886,2.16533,1111.1
164, R R R X (1),89.95892857142857,1.0639182857142857,88.93385714285715,1.1654922857142858,888.4
165, R R R X (2),89.46895714285714,1.0877318571428571,88.3936,1.1908734285714286,888.3
166, R R R X (3),88.97937142857143,1.1083322857142857,87.85411428571429,1.2132081428571428,888.2
167, R R R X (4),88.49087142857142,1.1287974285714286,87.3157,1.2354715714285713,888.1
124, C C C X (1),80.05547142857142,5.105055714285714,78.80378571428571,5.38305,777.4
125, C C C X (2),80.05165714285714,5.107052857142857,78.79928571428572,5.385707142857143,777.3
126, C C C X (3),80.05510000000001,5.106984285714286,78.8039,5.384932857142857,777.2
127, C C C X (4),80.05244285714285,5.107647142857142,78.80084285714285,5.386064285714285,777.1
200, S S S X (1),79.56711428571428,5.154807142857143,78.28464285714287,5.434338571428571,666.4
201, S S S X (2),79.56768571428572,5.155415714285715,78.28461428571428,5.435848571428571,666.3
202, S S S X (3),79.56252857142859,5.148895714285715,78.27997142857143,5.428107142857143,666.2
203, S S S X (4),79.56872857142857,5.155589999999999,78.28544285714285,5.4355585714285715,666.1
76, 7 7 7 X (1),79.08824285714286,5.197412857142857,77.77625714285715,5.477808571428571,555.4
77, 7 7 7 X (2),79.08594285714285,5.199545714285714,77.77295714285715,5.480865714285714,555.3
78, 7 7 7 X (3),79.08147142857142,5.197145714285715,77.76795714285716,5.477355714285714,555.2
79, 7 7 7 X (4),79.08374285714285,5.194628571428572,77.7711,5.475924285714285,555.1
48, 6 6 6 X (1),78.60635714285715,5.2305785714285715,77.26292857142857,5.511617142857142,444.4
49, 6 6 6 X (2),78.60542857142858,5.239271428571429,77.26228571428571,5.520521428571429,444.3
50, 6 6 6 X (3),78.60171428571428,5.240475714285714,77.25781428571429,5.52179,444.2
51, 6 6 6 X (4),78.60028571428572,5.239521428571429,77.25657142857143,5.521268571428571,444.1
24, 5 5 5 X (1),78.12031428571429,5.2797,76.74671428571428,5.561808571428571,333.4
25, 5 5 5 X (2),78.12207142857143,5.283515714285714,76.74841428571428,5.566217142857143,333.3
26, 5 5 5 X (3),78.12332857142857,5.279661428571429,76.74929999999999,5.562561428571429,333.2
27, 5 5 5 X (4),78.11962857142858,5.28193,76.74602857142858,5.563252857142857,333.1
4, 4 4 4 X (1),77.6464,5.320617142857143,76.24242857142858,5.6035385714285715,222.4
5, 4 4 4 X (2),77.65240000000001,5.320478571428572,76.2486142857143,5.603275714285714,222.3
6, 4 4 4 X (3),77.6499,5.321901428571429,76.24585714285715,5.605371428571429,222.2
7, 4 4 4 X (4),77.64195714285714,5.320991428571429,76.23814285714286,5.60454,222.1
92, A A A X (1),79.90958571428571,1.4188512857142856,77.86122857142857,1.5430071428571428,111.4
93, A A A X (2),79.46824285714285,1.42985,77.37441428571428,1.554142857142857,111.3
94, A A A X (3),79.02531428571429,1.4411928571428572,76.88637142857144,1.5663042857142855,111.2
95, A A A X (4),78.58517142857143,1.4520014285714287,76.4011,1.5772871428571429,111.1
172, R R X X (1),77.6761619047619,0.9979738095238095,75.53807142857143,1.077746,88.4
173, R R X X (2),69.48280476190476,1.1022808095238095,66.55588095238095,1.181448380952381,88.3
174, R R X X (3),61.77261428571428,1.161984142857143,58.103500000000004,1.2344086190476191,88.2
175, R R X X (4),54.53772857142857,1.1894870952380951,50.172371428571424,1.2500290952380952,88.1
132, C C X X (1),40.932247619047615,2.3108385714285715,36.645228571428575,2.341736666666667,77.4
133, C C X X (2),40.51108571428571,2.3068809523809524,36.192814285714284,2.3358109523809523,77.3
134, C C X X (3),40.0899,2.301275238095238,35.74049047619047,2.3280095238095235,77.2
135, C C X X (4),39.66954761904762,2.298775714285714,35.28970476190476,2.322247142857143,77.1
204, S S X X (1),35.107795238095235,2.24173,30.39131904761905,2.234566666666667,66.4
205, S S X X (2),34.7351,2.2365385714285715,29.990323809523808,2.2265876190476193,66.3
206, S S X X (3),34.35682380952381,2.230482380952381,29.58604285714286,2.2180342857142854,66.2
207, S S X X (4),33.98304761904762,2.2240828571428573,29.18420476190476,2.208689523809524,66.1
84, 7 7 X X (1),29.91014761904762,2.1503428571428573,24.811285714285717,2.0993833333333334,55.39999999999999
85, 7 7 X X (2),29.579071428571428,2.144428095238095,24.455138095238095,2.0891566666666668,55.3
86, 7 7 X X (3),29.244366666666668,2.137042380952381,24.096604761904764,2.079880476190476,55.2
87, 7 7 X X (4),28.913733333333333,2.129788095238095,23.741809523809522,2.0681752380952383,55.10000000000001
56, 6 6 X X (1),25.303176190476194,2.0438733333333334,19.865466666666666,1.9412995238095239,44.4
57, 6 6 X X (2),25.010328571428573,2.035344761904762,19.551309523809522,1.9292695238095239,44.3
58, 6 6 X X (3),24.716657142857144,2.027151904761905,19.236138095238097,1.9180595238095237,44.2
59, 6 6 X X (4),24.425971428571426,2.020028095238095,18.924390476190474,1.9064280952380952,44.1
32, 5 5 X X (1),21.243976190476193,1.9245457142857145,15.507747619047617,1.76386,33.4
33, 5 5 X X (2),20.988009523809524,1.9165961904761903,15.232990476190476,1.7521128571428572,33.3
34, 5 5 X X (3),20.733180952380952,1.907457619047619,14.959661904761905,1.7384809523809523,33.2
35, 5 5 X X (4),20.47770476190476,1.8991661904761907,14.686342857142858,1.726044761904762,33.1
12, 4 4 X X (1),17.694238095238095,1.7973361904761906,11.697547142857143,1.569886238095238,22.4
13, 4 4 X X (2),17.474814285714285,1.7885371428571428,11.461544285714286,1.5566406666666666,22.3
14, 4 4 X X (3),17.253061904761903,1.7788590476190476,11.224300952380952,1.5426919523809526,22.2
15, 4 4 X X (4),17.0337,1.770100476190476,10.988067142857144,1.5281595238095238,22.1
96, A A X X (1),15.42415238095238,0.8597121904761904,7.298010952380952,0.6479977619047619,11.4
97, A A X X (2),12.96602380952381,0.7994000476190476,4.602386666666667,0.5223322857142857,11.3
98, A A X X (3),10.750314285714285,0.7371157142857143,2.1724733333333335,0.36313861904761907,11.2
99, A A X X (4),8.768345714285713,0.6730861428571429,0.0,0.0,11.1
