,Mano,Grande,Stddev_grande,Grande_value
872,R R R R (1),100.0,0.0,8888.4
1045,R R R R (2),99.9983,0.0190026,8888.3
1219,R R R R (3),99.9966,0.0272763,8888.2
1276,R R R R (4),99.995,0.0330653,8888.1
1289,R R R C (1),99.9744,0.0417345,8887.4
134,R R R C (2),99.9236,0.072098,8887.3
305,R R R C (3),99.8725,0.0930951,8887.2
367,R R R C (4),99.822,0.110024,8887.1
382,R R R S (1),99.7706,0.124805,8886.4
550,R R R S (2),99.7202,0.137867,8886.3
730,R R R S (3),99.6689,0.149716,8886.2
795,R R R S (4),99.618,0.160852,8886.1
808,R R R 7 (1),99.5673,0.171385,8885.4
978,R R R 7 (2),99.5162,0.180674,8885.3
1150,R R R 7 (3),99.4651,0.190082,8885.2
1209,R R R 7 (4),99.4146,0.198675,8885.1
1224,R R R 6 (1),99.3633,0.207576,8884.4
71,R R R 6 (2),99.312,0.215354,8884.3
245,R R R 6 (3),99.2613,0.22362,8884.2
301,R R R 6 (4),99.2103,0.23092,8884.1
309,R R R 5 (1),99.1599,0.237604,8883.4
483,R R R 5 (2),99.1091,0.245243,8883.3
667,R R R 5 (3),99.0572,0.252189,8883.2
722,R R R 5 (4),99.0067,0.258636,8883.1
735,R R R 4 (1),98.9559,0.264945,8882.4
910,R R R 4 (2),98.9047,0.27156,8882.3
1086,R R R 4 (3),98.8546,0.277561,8882.2
1146,R R R 4 (4),98.804,0.283216,8882.1
1154,R R R A (1),98.7526,0.204493,8881.4
8,R R R A (2),98.6335,0.213912,8881.3
179,R R R A (3),98.5146,0.222861,8881.2
239,R R R A (4),98.3959,0.231524,8881.1
187,R R C C (1),96.8703,0.525416,8877.4
358,R R C C (2),96.845,0.526667,8877.3
528,R R C C (3),96.8187,0.528819,8877.2
598,R R C C (4),96.7949,0.529771,8877.1
608,R R C S (1),96.6425,0.332068,8876.4
779,R R C S (2),96.4158,0.342232,8876.3
953,R R C S (3),96.1877,0.352985,8876.2
1016,R R C S (4),95.9607,0.363665,8876.1
1029,R R C 7 (1),95.7337,0.37295,8875.4
1198,R R C 7 (2),95.5055,0.382056,8875.3
50,R R C 7 (3),95.2778,0.3911,8875.2
108,R R C 7 (4),95.0523,0.400401,8875.1
119,R R C 6 (1),94.8252,0.408339,8874.4
289,R R C 6 (2),94.5988,0.416305,8874.3
467,R R C 6 (3),94.3723,0.424767,8874.2
525,R R C 6 (4),94.1464,0.434242,8874.1
533,R R C 5 (1),93.921,0.440375,8873.4
712,R R C 5 (2),93.6953,0.447535,8873.3
893,R R C 5 (3),93.4699,0.45593,8873.2
948,R R C 5 (4),93.2438,0.462225,8873.1
959,R R C 4 (1),93.0192,0.470535,8872.4
1134,R R C 4 (2),92.7936,0.477394,8872.3
1312,R R C 4 (3),92.5673,0.483381,8872.2
45,R R C 4 (4),92.3435,0.490484,8872.1
55,R R C A (1),92.1178,0.351923,8871.4
230,R R C A (2),91.5948,0.361202,8871.3
408,R R C A (3),91.0715,0.372254,8871.2
461,R R C A (4),90.5494,0.38121,8871.1
838,R R S S (1),88.6265,0.958231,8866.4
1008,R R S S (2),88.6054,0.95591,8866.3
1179,R R S S (3),88.5774,0.957659,8866.2
1244,R R S S (4),88.5532,0.959015,8866.1
1254,R R S 7 (1),88.4061,0.590652,8865.4
98,R R S 7 (2),88.1876,0.595288,8865.3
273,R R S 7 (3),87.9672,0.599978,8865.2
335,R R S 7 (4),87.7463,0.604758,8865.1
345,R R S 6 (1),87.5293,0.608224,8864.4
515,R R S 6 (2),87.3086,0.614179,8864.3
695,R R S 6 (3),87.0915,0.61962,8864.2
759,R R S 6 (4),86.8709,0.623302,8864.1
766,R R S 5 (1),86.654,0.627519,8863.4
938,R R S 5 (2),86.4336,0.631109,8863.3
1116,R R S 5 (3),86.2158,0.635725,8863.2
1175,R R S 5 (4),85.9971,0.640514,8863.1
1183,R R S 4 (1),85.7788,0.643882,8862.4
35,R R S 4 (2),85.5611,0.648422,8862.3
211,R R S 4 (3),85.3426,0.651763,8862.2
267,R R S 4 (4),85.1245,0.656027,8862.1
277,R R S A (1),84.9085,0.466682,8861.4
454,R R S A (2),84.4002,0.473788,8861.3
639,R R S A (3),83.8939,0.479476,8861.2
689,R R S A (4),83.3894,0.484893,8861.1
154,R R 7 7 (1),81.8103,1.16128,8855.4
324,R R 7 7 (2),81.7889,1.16158,8855.3
498,R R 7 7 (3),81.7642,1.16196,8855.2
560,R R 7 7 (4),81.7409,1.16481,8855.1
577,R R 7 6 (1),81.5972,0.714762,8854.4
751,R R 7 6 (2),81.3852,0.718733,8854.3
926,R R 7 6 (3),81.1733,0.720705,8854.2
986,R R 7 6 (4),80.9613,0.725337,8854.1
996,R R 7 5 (1),80.7459,0.727125,8853.4
1166,R R 7 5 (2),80.534,0.730999,8853.3
19,R R 7 5 (3),80.3221,0.732285,8853.2
77,R R 7 5 (4),80.1084,0.73523,8853.1
86,R R 7 4 (1),79.8961,0.739067,8852.4
258,R R 7 4 (2),79.6844,0.740437,8852.3
433,R R 7 4 (3),79.4726,0.74546,8852.2
492,R R 7 4 (4),79.2621,0.746438,8852.1
503,R R 7 A (1),79.0479,0.530635,8851.4
682,R R 7 A (2),78.5559,0.534856,8851.3
861,R R 7 A (3),78.0629,0.539878,8851.2
918,R R 7 A (4),77.5713,0.543743,8851.1
804,R R 6 6 (1),76.3144,1.28044,8844.4
983,R R 6 6 (2),76.2907,1.2837,8844.3
1149,R R 6 6 (3),76.2696,1.28244,8844.2
1206,R R 6 6 (4),76.245,1.28131,8844.1
1221,R R 6 5 (1),76.1105,0.784582,8843.4
68,R R 6 5 (2),75.8993,0.788013,8843.3
243,R R 6 5 (3),75.6915,0.791898,8843.2
297,R R 6 5 (4),75.4846,0.793392,8843.1
307,R R 6 4 (1),75.2775,0.794648,8842.4
480,R R 6 4 (2),75.0694,0.797418,8842.3
664,R R 6 4 (3),74.8606,0.799527,8842.2
719,R R 6 4 (4),74.6535,0.801467,8842.1
732,R R 6 A (1),74.4468,0.568115,8841.4
908,R R 6 A (2),73.9642,0.57201,8841.3
1083,R R 6 A (3),73.4822,0.575463,8841.2
1142,R R 6 A (4),73.0023,0.578015,8841.1
118,R R 5 5 (1),72.0482,1.35003,8833.4
287,R R 5 5 (2),72.0244,1.35331,8833.3
466,R R 5 5 (3),72.0004,1.35459,8833.2
523,R R 5 5 (4),71.9804,1.35452,8833.1
532,R R 5 4 (1),71.8415,0.829177,8832.4
709,R R 5 4 (2),71.6364,0.831724,8832.3
891,R R 5 4 (3),71.4328,0.832382,8832.2
945,R R 5 4 (4),71.2304,0.834339,8832.1
956,R R 5 A (1),71.0286,0.591029,8831.4
1132,R R 5 A (2),70.5522,0.594983,8831.3
1308,R R 5 A (3),70.0799,0.597326,8831.2
41,R R 5 A (4),69.6071,0.599269,8831.1
764,R R 4 4 (1),68.9334,1.39598,8822.4
936,R R 4 4 (2),68.9163,1.39618,8822.3
1114,R R 4 4 (3),68.8894,1.39536,8822.2
1173,R R 4 4 (4),68.867,1.39463,8822.1
1181,R R 4 A (1),68.732,0.60555,8821.4
32,R R 4 A (2),68.2637,0.60713,8821.3
208,R R 4 A (3),67.7964,0.60829,8821.2
264,R R 4 A (4),67.328,0.610222,8821.1
85,R R A A (1),66.9272,0.655472,8811.4
255,R R A A (2),66.5964,0.658249,8811.3
431,R R A A (3),66.2633,0.659218,8811.2
488,R R A A (4),65.9322,0.659508,8811.1
1119,R C C C (1),56.0866,3.43178,8777.4
1295,R C C C (2),56.0776,3.43466,8777.3
141,R C C C (3),56.0844,3.43121,8777.2
204,R C C C (4),56.0836,3.42827,8777.1
214,R C C S (1),56.0822,1.39912,8776.4
387,R C C S (2),56.0561,1.39943,8776.3
563,R C C S (3),56.0289,1.39885,8776.2
627,R C C S (4),56.0042,1.39863,8776.1
641,R C C 7 (1),55.979,1.39908,8775.4
818,R C C 7 (2),55.9557,1.40034,8775.3
988,R C C 7 (3),55.9287,1.40048,8775.2
1048,R C C 7 (4),55.9046,1.39799,8775.1
1060,R C C 6 (1),55.8802,1.40011,8774.4
1232,R C C 6 (2),55.8525,1.39884,8774.3
79,R C C 6 (3),55.8263,1.39782,8774.2
138,R C C 6 (4),55.8019,1.39984,8774.1
148,R C C 5 (1),55.7772,1.40078,8773.4
320,R C C 5 (2),55.7502,1.39765,8773.3
493,R C C 5 (3),55.7272,1.40023,8773.2
554,R C C 5 (4),55.703,1.40269,8773.1
571,R C C 4 (1),55.6764,1.40009,8772.4
745,R C C 4 (2),55.6535,1.39641,8772.3
921,R C C 4 (3),55.6258,1.40143,8772.2
982,R C C 4 (4),55.6016,1.39812,8772.1
993,R C C A (1),55.5752,0.989496,8771.4
1161,R C C A (2),55.5166,0.990702,8771.3
14,R C C A (3),55.4559,0.991228,8771.2
73,R C C A (4),55.3967,0.990431,8771.1
436,R C S S (1),54.0796,1.40431,8766.4
615,R C S S (2),54.0527,1.40509,8766.3
791,R C S S (3),54.03,1.40412,8766.2
854,R C S S (4),54.0033,1.40416,8766.1
864,R C S 7 (1),53.8525,0.8598,8765.4
1036,R C S 7 (2),53.6246,0.859106,8765.3
1208,R C S 7 (3),53.4024,0.860589,8765.2
1272,R C S 7 (4),53.1758,0.861124,8765.1
1283,R C S 6 (1),52.9487,0.86019,8764.4
127,R C S 6 (2),52.7279,0.859643,8764.3
300,R C S 6 (3),52.5027,0.862536,8764.2
360,R C S 6 (4),52.2778,0.85902,8764.1
373,R C S 5 (1),52.0555,0.862911,8763.4
543,R C S 5 (2),51.8341,0.86195,8763.3
721,R C S 5 (3),51.6126,0.86238,8763.2
783,R C S 5 (4),51.3885,0.863189,8763.1
798,R C S 4 (1),51.1663,0.860591,8762.4
970,R C S 4 (2),50.9448,0.862331,8762.3
1144,R C S 4 (3),50.7226,0.862365,8762.2
1201,R C S 4 (4),50.5044,0.860902,8762.1
1216,R C S A (1),50.2829,0.61001,8761.4
63,R C S A (2),49.7708,0.609025,8761.3
240,R C S A (3),49.2592,0.60883,8761.2
291,R C S A (4),48.7503,0.609457,8761.1
1087,R C 7 7 (1),47.1815,1.40751,8755.4
1261,R C 7 7 (2),47.1586,1.4086,8755.3
107,R C 7 7 (3),47.1337,1.40559,8755.2
170,R C 7 7 (4),47.1109,1.40542,8755.1
180,R C 7 6 (1),46.9734,0.860846,8754.4
352,R C 7 6 (2),46.7612,0.860361,8754.3
524,R C 7 6 (3),46.5524,0.859977,8754.2
593,R C 7 6 (4),46.3424,0.8608,8754.1
602,R C 7 5 (1),46.1329,0.858784,8753.4
774,R C 7 5 (2),45.9261,0.858767,8753.3
947,R C 7 5 (3),45.717,0.858974,8753.2
1012,R C 7 5 (4),45.5087,0.85785,8753.1
1022,R C 7 4 (1),45.301,0.859875,8752.4
1191,R C 7 4 (2),45.0948,0.858072,8752.3
42,R C 7 4 (3),44.8899,0.858234,8752.2
104,R C 7 4 (4),44.6825,0.857004,8752.1
114,R C 7 A (1),44.4757,0.605531,8751.4
284,R C 7 A (2),43.9969,0.604372,8751.3
460,R C 7 A (3),43.5185,0.603222,8751.2
518,R C 7 A (4),43.0423,0.601718,8751.1
409,R C 6 6 (1),41.8408,1.39015,8744.4
585,R C 6 6 (2),41.8181,1.39116,8744.3
758,R C 6 6 (3),41.7972,1.39206,8744.2
823,R C 6 6 (4),41.7726,1.39054,8744.1
833,R C 6 5 (1),41.6429,0.850987,8743.4
1004,R C 6 5 (2),41.4457,0.849951,8743.3
1174,R C 6 5 (3),41.249,0.847576,8743.2
1239,R C 6 5 (4),41.0516,0.846639,8743.1
1248,R C 6 4 (1),40.8554,0.847515,8742.4
94,R C 6 4 (2),40.6609,0.845703,8742.3
268,R C 6 4 (3),40.4638,0.846891,8742.2
329,R C 6 4 (4),40.2685,0.845179,8742.1
339,R C 6 A (1),40.0731,0.596864,8741.4
510,R C 6 A (2),39.6202,0.5958,8741.3
688,R C 6 A (3),39.1669,0.59471,8741.2
753,R C 6 A (4),38.718,0.593869,8741.1
1057,R C 5 5 (1),37.8318,1.36693,8733.4
1231,R C 5 5 (2),37.8098,1.36632,8733.3
75,R C 5 5 (3),37.7904,1.36363,8733.2
135,R C 5 5 (4),37.7667,1.36755,8733.1
146,R C 5 4 (1),37.6427,0.835471,8732.4
318,R C 5 4 (2),37.4544,0.835411,8732.3
490,R C 5 4 (3),37.2672,0.833701,8732.2
551,R C 5 4 (4),37.0816,0.832773,8732.1
568,R C 5 A (1),36.8937,0.58792,8731.4
743,R C 5 A (2),36.458,0.586223,8731.3
917,R C 5 A (3),36.0245,0.584805,8731.2
979,R C 5 A (4),35.5953,0.58334,8731.1
371,R C 4 4 (1),34.9867,1.34319,8722.4
541,R C 4 4 (2),34.967,1.3428,8722.3
720,R C 4 4 (3),34.9443,1.34338,8722.2
780,R C 4 4 (4),34.9265,1.34147,8722.1
794,R C 4 A (1),34.8032,0.580886,8721.4
967,R C 4 A (2),34.3823,0.578954,8721.3
1141,R C 4 A (3),33.9621,0.578536,8721.2
1197,R C 4 A (4),33.5417,0.576121,8721.1
1020,R C A A (1),33.1874,0.612715,8711.4
1190,R C A A (2),32.8905,0.612028,8711.3
40,R C A A (3),32.5946,0.611317,8711.2
99,R C A A (4),32.3016,0.609261,8711.1
47,R S S S (1),27.1013,3.07313,8666.4
219,R S S S (2),27.0944,3.07346,8666.3
396,R S S S (3),27.097,3.07231,8666.2
453,R S S S (4),27.1067,3.07638,8666.1
464,R S S 7 (1),27.1001,1.25317,8665.4
646,R S S 7 (2),27.0814,1.25442,8665.3
824,R S S 7 (3),27.0665,1.25123,8665.2
882,R S S 7 (4),27.0542,1.24911,8665.1
889,R S S 6 (1),27.0384,1.25249,8664.4
1068,R S S 6 (2),27.0203,1.24988,8664.3
1241,R S S 6 (3),27.0065,1.24988,8664.2
1298,R S S 6 (4),26.9893,1.25002,8664.1
1306,R S S 5 (1),26.9763,1.24934,8663.4
158,R S S 5 (2),26.9585,1.25107,8663.3
332,R S S 5 (3),26.9413,1.25077,8663.2
392,R S S 5 (4),26.93,1.25182,8663.1
403,R S S 4 (1),26.9144,1.25147,8662.4
582,R S S 4 (2),26.9022,1.25106,8662.3
756,R S S 4 (3),26.8839,1.24806,8662.2
821,R S S 4 (4),26.869,1.24776,8662.1
829,R S S A (1),26.8531,0.883818,8661.4
999,R S S A (2),26.8179,0.882854,8661.3
1170,R S S A (3),26.7815,0.88184,8661.2
1234,R S S A (4),26.7456,0.880501,8661.1
692,R S 7 7 (1),26.0683,1.23726,8655.4
871,R S 7 7 (2),26.053,1.2362,8655.3
1047,R S 7 7 (3),26.0397,1.23595,8655.2
1103,R S 7 7 (4),26.0219,1.23717,8655.1
1112,R S 7 6 (1),25.9298,0.755177,8654.4
1290,R S 7 6 (2),25.7947,0.75366,8654.3
137,R S 7 6 (3),25.6573,0.753386,8654.2
197,R S 7 6 (4),25.5222,0.75009,8654.1
207,R S 7 5 (1),25.3847,0.75085,8653.4
383,R S 7 5 (2),25.2481,0.750273,8653.3
553,R S 7 5 (3),25.1142,0.74865,8653.2
618,R S 7 5 (4),24.978,0.747213,8653.1
634,R S 7 4 (1),24.8425,0.746148,8652.4
809,R S 7 4 (2),24.7092,0.743351,8652.3
981,R S 7 4 (3),24.574,0.742452,8652.2
1041,R S 7 4 (4),24.4398,0.74004,8652.1
1055,R S 7 A (1),24.306,0.523097,8651.4
1226,R S 7 A (2),23.9951,0.520413,8651.3
72,R S 7 A (3),23.6858,0.518645,8651.2
129,R S 7 A (4),23.3793,0.516092,8651.1
15,R S 6 6 (1),22.6033,1.17745,8644.4
188,R S 6 6 (2),22.5905,1.17818,8644.3
359,R S 6 6 (3),22.5738,1.1791,8644.2
421,R S 6 6 (4),22.5607,1.17708,8644.1
429,R S 6 5 (1),22.4753,0.72048,8643.4
610,R S 6 5 (2),22.35,0.718656,8643.3
784,R S 6 5 (3),22.2224,0.717349,8643.2
846,R S 6 5 (4),22.0964,0.714905,8643.1
857,R S 6 4 (1),21.9688,0.715427,8642.4
1030,R S 6 4 (2),21.8433,0.711532,8642.3
1200,R S 6 4 (3),21.7187,0.71125,8642.2
1263,R S 6 4 (4),21.5925,0.708284,8642.1
1275,R S 6 A (1),21.4675,0.500909,8641.4
120,R S 6 A (2),21.1757,0.498277,8641.3
290,R S 6 A (3),20.8876,0.494867,8641.2
354,R S 6 A (4),20.6022,0.492695,8641.1
660,R S 5 5 (1),20.0345,1.12732,8633.4
839,R S 5 5 (2),20.0193,1.1275,8633.3
1009,R S 5 5 (3),20.0106,1.12687,8633.2
1072,R S 5 5 (4),19.9964,1.12805,8633.1
1080,R S 5 4 (1),19.9142,0.688017,8632.4
1256,R S 5 4 (2),19.7948,0.687639,8632.3
103,R S 5 4 (3),19.6772,0.684402,8632.2
164,R S 5 4 (4),19.5571,0.68538,8632.1
173,R S 5 A (1),19.4383,0.481678,8631.4
347,R S 5 A (2),19.1632,0.479893,8631.3
517,R S 5 A (3),18.8886,0.477399,8631.2
587,R S 5 A (4),18.6175,0.473916,8631.1
1304,R S 4 4 (1),18.2312,1.08811,8622.4
155,R S 4 4 (2),18.2202,1.08787,8622.3
328,R S 4 4 (3),18.2023,1.08732,8622.2
388,R S 4 4 (4),18.1944,1.08724,8622.1
400,R S 4 A (1),18.1172,0.469152,8621.4
579,R S 4 A (2),17.8508,0.467145,8621.3
752,R S 4 A (3),17.585,0.464274,8621.2
817,R S 4 A (4),17.3226,0.461619,8621.1
632,R S A A (1),17.0991,0.490238,8611.4
806,R S A A (2),16.9132,0.4888,8611.3
977,R S A A (3),16.7278,0.486365,8611.2
1037,R S A A (4),16.5438,0.484537,8611.1
294,R 7 7 7 (1),14.2154,2.41394,8555.4
469,R 7 7 7 (2),14.2168,2.41681,8555.3
654,R 7 7 7 (3),14.215,2.41517,8555.2
705,R 7 7 7 (4),14.218,2.41704,8555.1
715,R 7 7 6 (1),14.2197,0.984078,8554.4
895,R 7 7 6 (2),14.2108,0.983119,8554.3
1073,R 7 7 6 (3),14.1998,0.982768,8554.2
1128,R 7 7 6 (4),14.1896,0.985489,8554.1
1139,R 7 7 5 (1),14.1801,0.983863,8553.4
1317,R 7 7 5 (2),14.1699,0.981373,8553.3
166,R 7 7 5 (3),14.1579,0.982532,8553.2
222,R 7 7 5 (4),14.1496,0.982368,8553.1
234,R 7 7 4 (1),14.1388,0.981469,8552.4
412,R 7 7 4 (2),14.1312,0.980634,8552.3
592,R 7 7 4 (3),14.1207,0.980365,8552.2
649,R 7 7 4 (4),14.1093,0.980606,8552.1
658,R 7 7 A (1),14.0995,0.69309,8551.4
835,R 7 7 A (2),14.0749,0.693002,8551.3
1005,R 7 7 A (3),14.0519,0.690897,8551.2
1070,R 7 7 A (4),14.0307,0.69051,8551.1
942,R 7 6 6 (1),13.6679,0.966684,8544.4
1120,R 7 6 6 (2),13.6584,0.966288,8544.3
1297,R 7 6 6 (3),13.647,0.967947,8544.2
27,R 7 6 6 (4),13.6362,0.967252,8544.1
38,R 7 6 5 (1),13.5785,0.590552,8543.4
215,R 7 6 5 (2),13.4896,0.589094,8543.3
390,R 7 6 5 (3),13.399,0.587046,8543.2
445,R 7 6 5 (4),13.3129,0.585893,8543.1
458,R 7 6 4 (1),13.2238,0.585157,8542.4
643,R 7 6 4 (2),13.1327,0.582247,8542.3
819,R 7 6 4 (3),13.0458,0.580203,8542.2
877,R 7 6 4 (4),12.9582,0.579029,8542.1
885,R 7 6 A (1),12.8714,0.408397,8541.4
1061,R 7 6 A (2),12.6663,0.405693,8541.3
1233,R 7 6 A (3),12.4652,0.402987,8541.2
1292,R 7 6 A (4),12.2645,0.399451,8541.1
261,R 7 5 5 (1),11.8682,0.911018,8533.4
437,R 7 5 5 (2),11.8591,0.911096,8533.3
616,R 7 5 5 (3),11.8493,0.911638,8533.2
676,R 7 5 5 (4),11.8403,0.909726,8533.1
684,R 7 5 4 (1),11.7869,0.555556,8532.4
865,R 7 5 4 (2),11.7022,0.555252,8532.3
1040,R 7 5 4 (3),11.6216,0.552873,8532.2
1098,R 7 5 4 (4),11.5373,0.549929,8532.1
1107,R 7 5 A (1),11.4566,0.387986,8531.4
1284,R 7 5 A (2),11.2647,0.384429,8531.3
128,R 7 5 A (3),11.0744,0.382206,8531.2
191,R 7 5 A (4),10.8856,0.379279,8531.1
913,R 7 4 4 (1),10.6208,0.868509,8522.4
1089,R 7 4 4 (2),10.6111,0.868154,8522.3
1267,R 7 4 4 (3),10.6026,0.867012,8522.2
1319,R 7 4 4 (4),10.5933,0.867993,8522.1
9,R 7 4 A (1),10.5415,0.374076,8521.4
182,R 7 4 A (2),10.3575,0.371541,8521.3
353,R 7 4 A (3),10.175,0.368577,8521.2
417,R 7 4 A (4),9.9952,0.365417,8521.1
231,R 7 A A (1),9.84255,0.389153,8511.4
410,R 7 A A (2),9.71472,0.386002,8511.3
586,R 7 A A (3),9.58764,0.383688,8511.2
647,R 7 A A (4),9.46221,0.381123,8511.1
567,R 6 6 6 (1),8.40166,1.91996,8444.4
726,R 6 6 6 (2),8.40075,1.91992,8444.3
903,R 6 6 6 (3),8.40387,1.91755,8444.2
962,R 6 6 6 (4),8.40064,1.91657,8444.1
974,R 6 6 5 (1),8.40437,0.783501,8443.4
1147,R 6 6 5 (2),8.39498,0.781706,8443.3
1,R 6 6 5 (3),8.38904,0.781725,8443.2
56,R 6 6 5 (4),8.38072,0.780606,8443.1
67,R 6 6 4 (1),8.37433,0.779916,8442.4
242,R 6 6 4 (2),8.36608,0.7799,8442.3
418,R 6 6 4 (3),8.3601,0.781588,8442.2
472,R 6 6 4 (4),8.35323,0.778651,8442.1
481,R 6 6 A (1),8.34572,0.551405,8441.4
663,R 6 6 A (2),8.32942,0.550273,8441.3
842,R 6 6 A (3),8.31087,0.549797,8441.2
897,R 6 6 A (4),8.29557,0.548975,8441.1
1194,R 6 5 5 (1),8.09185,0.768072,8433.4
48,R 6 5 5 (2),8.08417,0.767882,8433.3
221,R 6 5 5 (3),8.07785,0.768222,8433.2
276,R 6 5 5 (4),8.06903,0.767254,8433.1
286,R 6 5 4 (1),8.02594,0.468972,8432.4
465,R 6 5 4 (2),7.96179,0.467599,8432.3
650,R 6 5 4 (3),7.89805,0.465229,8432.2
699,R 6 5 4 (4),7.83346,0.463456,8432.1
710,R 6 5 A (1),7.7688,0.326098,8431.4
890,R 6 5 A (2),7.62104,0.323381,8431.3
1069,R 6 5 A (3),7.47338,0.320742,8431.2
1122,R 6 5 A (4),7.32759,0.318275,8431.1
512,R 6 4 4 (1),7.11916,0.724836,8422.4
693,R 6 4 4 (2),7.11504,0.725064,8422.3
874,R 6 4 4 (3),7.1073,0.724691,8422.2
928,R 6 4 4 (4),7.10104,0.723558,8422.1
935,R 6 4 A (1),7.06111,0.312454,8421.4
1113,R 6 4 A (2),6.91953,0.309384,8421.3
1291,R 6 4 A (3),6.77916,0.306178,8421.2
24,R 6 4 A (4),6.64008,0.303699,8421.1
1163,R 6 A A (1),6.52141,0.321677,8411.4
17,R 6 A A (2),6.42387,0.319769,8411.3
190,R 6 A A (3),6.32685,0.317435,8411.2
246,R 6 A A (4),6.22892,0.314355,8411.1
814,R 5 5 5 (1),5.74793,1.60987,8333.4
985,R 5 5 5 (2),5.75287,1.60777,8333.3
1155,R 5 5 5 (3),5.74853,1.6085,8333.2
1217,R 5 5 5 (4),5.75126,1.60871,8333.1
1229,R 5 5 4 (1),5.74823,0.655968,8332.4
78,R 5 5 4 (2),5.74336,0.654105,8332.3
247,R 5 5 4 (3),5.73771,0.654697,8332.2
304,R 5 5 4 (4),5.73026,0.655336,8332.1
317,R 5 5 A (1),5.72486,0.462849,8331.4
