,Juego_repr,Juego_1_general,Stddev_juego_1_general,Juego_2_general,Stddev_juego_2_general,Juego_value_general,Juego_1_sin_pares,Stddev_juego_1_sin_pares,Juego_2_sin_pares,Stddev_juego_2_sin_pares,Juego_value_sin_pares,Pares_value_x,Juego_1_con_pares,Stddev_juego_1_con_pares,Juego_2_con_pares,Stddev_juego_2_con_pares,Juego_value,Pares_value_y
0, 40 (1),74.68262666666666,4.3375796,47.164300000000004,7.342439333333333,40.4,,,,,,,74.68262666666666,4.3375796,47.164300000000004,7.342439333333333,40.4,3582.6
1, 40 (2),73.93572666666667,4.379898333333333,45.59554666666667,7.326534666666666,40.3,,,,,,,73.93572666666667,4.379898333333333,45.59554666666667,7.326534666666666,40.3,3582.5
2, 40 (3),73.18681333333333,4.4201282,44.036613333333335,7.303437333333333,40.2,,,,,,,73.18681333333333,4.4201282,44.036613333333335,7.303437333333333,40.2,3582.4
3, 40 (4),72.43826,4.4576696,42.474579999999996,7.271908,40.1,,,,,,,72.43826,4.4576696,42.474579999999996,7.271908,40.1,3582.3
4, 37 (1),69.34638,1.9015187,41.29511,2.816707,37.4,69.3457,0.794909,41.2952,1.17471,37.4,0.4,69.34645555555556,2.024475333333333,41.295100000000005,2.999151111111111,37.4,310.73333333333335
5, 37 (2),68.11534,1.9223781000000002,38.93961,2.7898819999999995,37.3,68.1145,0.802709,38.9393,1.16381,37.3,0.3,68.11543333333333,2.046785777777778,38.93964444444444,2.9705566666666665,37.3,310.6333333333333
6, 37 (3),66.8948,1.9415202,36.60127,2.757187,37.2,66.8959,0.810477,36.6035,1.14942,37.2,0.2,66.89467777777777,2.0671916666666665,36.60102222222222,2.935827777777778,37.2,310.53333333333336
7, 37 (4),65.68384,1.9576415,34.28356,2.71496,37.1,65.6833,0.819702,34.2837,1.13274,37.1,0.1,65.68390000000001,2.0840792222222224,34.283544444444445,2.8907622222222225,37.1,310.43333333333334
8, 36 (1),64.02881,1.9794006,32.642250000000004,2.654782,36.4,64.0304,0.8275,32.6458,1.10623,36.4,0.4,64.02863333333333,2.1073895555555553,32.64185555555556,2.8268433333333336,36.4,310.73333333333335
9, 36 (2),62.85027,1.9929123,30.43422,2.602606,36.3,62.8516,0.833032,30.4354,1.08726,36.3,0.3,62.850122222222225,2.121787888888889,30.434088888888887,2.770977777777778,36.3,310.6333333333333
10, 36 (3),61.67818,2.0042203,28.240940000000002,2.545784,36.2,61.6798,0.837465,28.2411,1.0621,36.2,0.2,61.678,2.1338597777777775,28.24092222222222,2.710637777777778,36.2,310.53333333333336
11, 36 (4),60.51796,2.0156274,26.06734,2.483396,36.1,60.5165,0.843809,26.0658,1.03593,36.1,0.1,60.51812222222222,2.1458294444444443,26.06751111111111,2.644225555555556,36.1,310.43333333333334
12, 35 (1),59.67607,2.0213981,25.578290000000003,2.449287,35.4,59.6744,0.845474,25.5766,1.02363,35.4,0.4,59.676255555555564,2.1520563333333333,25.578477777777778,2.607693333333333,35.4,310.73333333333335
13, 35 (2),58.52365999999999,2.032302,23.45054,2.3804094,35.3,58.5253,0.850676,23.4513,0.993284,35.3,0.3,58.52347777777777,2.163593777777778,23.450455555555557,2.5345344444444446,35.3,310.6333333333333
14, 35 (3),57.379020000000004,2.0397452,21.33937,2.3002616,35.2,57.3807,0.853379,21.3399,0.960336,35.2,0.2,57.37883333333333,2.1715636666666667,21.339311111111112,2.4491422222222226,35.2,310.53333333333336
15, 35 (4),56.243669999999995,2.0464362,19.24221,2.2139732000000003,35.1,56.2426,0.855215,19.242,0.923743,35.1,0.1,56.243788888888886,2.1787941111111113,19.242233333333335,2.357332111111111,35.1,310.43333333333334
16, 34 (1),53.13826875,2.0856465625,15.75110625,2.043064625,34.4,53.9866,0.860778,16.6605,0.864439,34.4,0.4,53.08171333333333,2.1673044666666663,15.69048,2.1216396666666664,34.4,1748.6
17, 34 (2),51.3895875,2.0890298125,12.6079625,1.86042225,34.3,52.3223,0.862745,13.6471,0.796614,34.3,0.3,51.32740666666667,2.1707821333333333,12.538686666666667,1.9313428000000001,34.3,1748.5
18, 34 (3),49.67215625,2.08959175,9.522081875,1.6405623125,34.2,50.689,0.861105,10.6875,0.716988,34.2,0.2,49.60436666666667,2.171490866666667,9.444387333333333,1.7021339333333334,34.2,1748.4
19, 34 (4),47.988575,2.08684475,6.49585625,1.3674145625,34.1,49.0864,0.860594,7.78144,0.62187,34.1,0.1,47.91538666666667,2.1685948,6.4101506666666666,1.4171175333333332,34.1,1748.3
20, 33 (1),45.21608333333333,1.3032081666666666,4.713903333333334,0.7322291666666666,33.4,45.216499999999996,0.9765963333333333,4.71349,0.5491483333333333,33.4,0.4000000000000001,45.215666666666664,1.6298199999999998,4.714316666666667,0.91531,33.4,77.4
21, 33 (2),44.30451666666667,1.300247,3.1277950000000003,0.6009460000000001,33.3,44.30473333333333,0.9754253333333334,3.1274466666666663,0.45046300000000006,33.3,0.3,44.304300000000005,1.6250686666666667,3.1281433333333335,0.751429,33.3,77.3
22, 33 (3),43.400299999999994,1.2962596666666666,1.5562683333333334,0.4275116666666667,33.2,43.40053333333333,0.972028,1.5561233333333335,0.3208256666666667,33.2,0.20000000000000004,43.40006666666667,1.6204913333333335,1.5564133333333334,0.5341976666666667,33.2,77.2
23, 33 (4),42.50573333333333,1.2935823333333334,0.0,0.0,33.1,42.5061,0.9695323333333333,0.0,0.0,33.1,0.10000000000000002,42.50536666666667,1.6176323333333336,0.0,0.0,33.1,77.1
24, 31 (1),100.0,0.0,100.0,0.0,3100.4,100.0,0.0,100.0,0.0,3100.4,0.4,100.0,0.0,100.0,0.0,3100.4,273.73333333333335
25, 31 (2),91.4851,0.98264144,85.410896,1.62092648,3100.3,91.29757142857143,0.524713,85.27417142857144,0.8563047142857142,3100.3,0.3,91.55802777777778,1.1607247222222223,85.46406666666667,1.918279388888889,3100.3,273.6333333333333
26, 31 (3),83.60278,1.30088964,71.903488,2.05807056,3100.2,83.25252857142857,0.695066,71.66004285714287,1.0888042857142857,3100.2,0.2,83.73898888888888,1.5364877222222222,71.9981611111111,2.4350074444444445,3100.2,273.53333333333336
27, 31 (4),76.314028,1.4909623600000002,59.410584,2.2410567599999998,3100.1,75.82435714285714,0.7970337142857142,59.08901428571429,1.1883444285714284,3100.1,0.1,76.50445555555557,1.7608234999999999,59.53563888888888,2.650444888888889,3100.1,273.43333333333334
28, 32 (1),75.78855833333334,1.4781639166666667,58.653641666666665,2.2207966666666668,320.4,75.88103333333333,0.8397353333333332,58.6642,1.26617,320.4,0.4000000000000001,75.75773333333333,1.6909734444444444,58.65012222222222,2.5390055555555557,320.4,2622.0666666666666
29, 32 (2),73.70475,1.5187315833333335,55.09671666666666,2.2423841666666666,320.3,73.92266666666667,0.8613733333333333,55.30853333333334,1.27781,320.3,0.3,73.63211111111112,1.737851,55.02611111111111,2.563908888888889,320.3,2621.9666666666667
30, 32 (3),71.66485833333333,1.5553887499999999,51.613683333333334,2.252419166666667,320.2,72.0029,0.8811373333333333,52.019499999999994,1.28408,320.2,0.20000000000000004,71.55217777777779,1.7801392222222223,51.478411111111114,2.575198888888889,320.2,2621.866666666667
31, 32 (4),69.66571666666667,1.5859813333333335,48.199983333333336,2.2501025,320.1,70.12303333333334,0.8984846666666666,48.79683333333333,1.28458,320.1,0.10000000000000002,69.51327777777777,1.8151468888888889,48.00103333333333,2.5719433333333335,320.1,2621.766666666667
